date,source_type,object_name,action_type,priority,impressions,clicks,ctr,avg_position,action_note
2026-03-13,SEO,детский лагерь подмосковье,rewrite_snippet,high,40,0,0.0000,8.98,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,лагерь подмосковье,rewrite_snippet,high,40,0,0.0000,7.28,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,ай да кодить,rewrite_snippet,high,39,0,0.0000,10.18,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,подмосковье лагерь,rewrite_snippet,high,36,0,0.0000,23.31,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,игровая зависимость от компьютерных игр лечение,rewrite_snippet,high,36,0,0.0000,19.50,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,лечение зависимостей у подростков,rewrite_snippet,high,36,0,0.0000,28.92,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,лагерь в подмосковье,rewrite_snippet,high,35,0,0.0000,7.37,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,москва лукинская улица 8 айдакодить,rewrite_snippet,high,34,0,0.0000,9.59,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,лагерь для детей в подмосковье,rewrite_snippet,high,32,0,0.0000,27.97,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,летний лагерь,boost_page,high,241,27,0.1120,4.34,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,лечение онлайн зависимости от игр,boost_page,high,131,1,0.0076,5.75,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,лагерь для подростков,boost_page,high,85,0,0.0000,6.85,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,детский лагерь,boost_page,high,60,0,0.0000,9.53,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,летние лагеря,boost_page,high,78,0,0.0000,5.87,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,лечение телефонной зависимости у подростков,boost_page,high,50,0,0.0000,4.48,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,работа с зависимыми подростками,boost_page,high,41,0,0.0000,5.66,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,детский лагерь подмосковье,boost_page,high,40,0,0.0000,8.98,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,лагерь подмосковье,boost_page,high,40,0,0.0000,7.28,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,лагерь в подмосковье,boost_page,high,35,0,0.0000,7.37,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,москва лукинская улица 8 айдакодить,boost_page,high,34,0,0.0000,9.59,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,лечение телефонной зависимости у подростков v-gotlib.ru,boost_page,high,28,0,0.0000,5.36,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,летняя школа программирования для школьников,boost_page,high,24,1,0.0417,7.67,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,школа программирования переделкино ближнее,boost_page,high,24,0,0.0000,6.33,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,летние лагеря для,boost_page,high,23,1,0.0435,4.65,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,зависимости от телефона у подростков лечение v-gotlib.ru,boost_page,high,20,0,0.0000,8.85,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-13,SEO,лагерь для подростков,create_landing,high,85,0,0.0000,6.85,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-13,SEO,лагеря в подмосковье на лето,create_landing,high,75,0,0.0000,17.24,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-13,SEO,детский лагерь,create_landing,high,60,0,0.0000,9.53,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-13,SEO,летние лагеря,create_landing,high,78,0,0.0000,5.87,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-13,SEO,лечение телефонной зависимости у подростков,create_landing,high,50,0,0.0000,4.48,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-13,DIRECT,Direct,scale_budget,medium,,,,,Канал показывает высокий ROMI: можно осторожно масштабировать бюджет
2026-03-12,SEO,летние лагеря,boost_page,high,77,0,0.0000,5.84,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,лечение онлайн зависимости от игр,rewrite_snippet,high,131,1,0.0076,5.75,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,детский лагерь в подмосковье на лето 2026,rewrite_snippet,high,129,0,0.0000,10.17,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,лагерь для подростков,rewrite_snippet,high,84,0,0.0000,6.83,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,летние лагеря,rewrite_snippet,high,77,0,0.0000,5.84,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,лагеря в подмосковье на лето,rewrite_snippet,high,72,0,0.0000,17.40,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,детский лагерь,boost_page,high,59,0,0.0000,9.22,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,детский лагерь,rewrite_snippet,high,59,0,0.0000,9.22,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,лечение телефонной зависимости у подростков,rewrite_snippet,high,50,0,0.0000,4.48,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,игровая зависимость от компьютерных игр лечение v-gotlib.ru,rewrite_snippet,high,48,0,0.0000,3.90,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,зависимости от телефона у подростков лечение,rewrite_snippet,high,46,0,0.0000,3.67,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,работа с зависимыми подростками,rewrite_snippet,high,41,0,0.0000,5.66,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,айда кодить,rewrite_snippet,high,38,0,0.0000,10.63,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,ай да кодить,rewrite_snippet,high,38,0,0.0000,10.21,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,детский лагерь подмосковье,rewrite_snippet,high,36,0,0.0000,8.97,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,игровая зависимость от компьютерных игр лечение,rewrite_snippet,high,36,0,0.0000,19.50,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,лечение зависимостей у подростков,rewrite_snippet,high,36,0,0.0000,28.92,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,москва лукинская улица 8 айдакодить,rewrite_snippet,high,30,0,0.0000,9.70,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,лечение телефонной зависимости у подростков,boost_page,high,50,0,0.0000,4.48,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,работа с зависимыми подростками,boost_page,high,41,0,0.0000,5.66,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,детский лагерь подмосковье,boost_page,high,36,0,0.0000,8.97,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,москва лукинская улица 8 айдакодить,boost_page,high,30,0,0.0000,9.70,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,лечение телефонной зависимости у подростков v-gotlib.ru,boost_page,high,28,0,0.0000,5.36,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,лагерь в подмосковье,boost_page,high,26,0,0.0000,7.42,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,летняя школа программирования для школьников,boost_page,high,23,1,0.0435,7.78,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,школа программирования переделкино ближнее,boost_page,high,23,0,0.0000,6.35,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,лагерь подмосковье,boost_page,high,23,0,0.0000,7.78,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,летние лагеря для,boost_page,high,21,1,0.0476,4.86,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,лагерь для подростков,create_landing,high,84,0,0.0000,6.83,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-12,SEO,зависимости от телефона у подростков лечение v-gotlib.ru,boost_page,high,20,0,0.0000,8.85,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,летние лагеря,create_landing,high,77,0,0.0000,5.84,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-12,SEO,лагеря в подмосковье на лето,create_landing,high,72,0,0.0000,17.40,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-12,SEO,детский лагерь,create_landing,high,59,0,0.0000,9.22,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-12,SEO,лечение телефонной зависимости у подростков,create_landing,high,50,0,0.0000,4.48,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-12,SEO,летний лагерь,boost_page,high,233,25,0.1073,4.29,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,летний детский лагерь,rewrite_snippet,high,65,1,0.0154,2.75,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-12,SEO,детский лагерь в подмосковье на лето 2026,create_landing,high,129,0,0.0000,10.17,"Есть спрос, но слабый CTR/позиция: вынести в отдельную посадочную или кластерную страницу"
2026-03-12,SEO,лагерь для подростков,boost_page,high,84,0,0.0000,6.83,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
2026-03-12,SEO,лечение онлайн зависимости от игр,boost_page,high,131,1,0.0076,5.75,"Запрос в зоне роста 4-10: усилить страницу, контент, внутренние ссылки и анкор-линковку"
